Event,Course,city,state,Country,long,lat,start,end,past_winner,purse,fedex_cup_points,adj_purse,adj_purse2
Safeway Open,Silverado Resort and Spa North,Napa,CA,US,-122.264,38.349,10/05/17,10/08/17,Brendan Steele,6200000,500,6.2,0.266944444444444
CIMB Classic,TPC Kuala Lumpur,Kuala Lumpur,MAS,MAL,101.64,3.139,10/12/17,10/15/17,Justin Thomas,7000000,500,7,0.340277777777778
The CJ Cub @ Nine Bridges,Nine Bridges,Jeju Island,,KOR,126.53,33.38,10/19/17,10/22/17,N.A.,9250000,500,9.25,0.594184027777778
Sanderson Farms Championship,CC of Jackson,Jackson,MS,US,-90.098,32.397,10/26/17,10/29/17,Cody Gribble,4300000,300,4.3,0.128402777777778
WBC – HSBC Champions,Sheshan International GC,Shanghai,,CHN,121.216,31.109,10/26/18,10/29/18,Hideki Matsuyama,9750000,550,9.75,0.66015625
Shriners Hospitals for Children Open,TPC Summerlin,Las Vegas,NV,US,-115.298,36.188,11/02/17,11/5/17,Rod Pampling,6800000,500,6.8,0.321111111111111
OHL Classic at Mayakoba,El Camaleon GC,Playa del Carmen,,MEX,-87.0811,20.6275,11/09/17,11/12/17,Pat Perez,7100000,500,7.1,0.350069444444444
The RSM Classic,Sea Island Resort (Seaside),Sea Island,GA,US,-81.331694,31.201728,11/16/17,11/19/17,Mackenzie Hughes,6200000,500,6.2,0.266944444444444
Hero World Challenge,Albany,New Providence,,BAH,-77.504,25.012,11/30/17,12/3/17,Hideki Matsuyama,3500000,0,3.5,0.085069444444445
QBE Shootout,Tiburon GC,Naples,FL,US,-81.765,26.248,12/08/17,12/10/17,"Harris English, Matt Kuchar",3300000,0,3.3,0.075625
Sentry Tournament of Champions,Plantation Course at Kapalua,Maui,HI,US,-156.64,21.006,01/04/17,1/7/17,Justin Thomas,6300000,500,6.3,0.275625
Sony Open in Hawaii,Waialae CC,Honolulu,HI,US,-157.775,21.272,01/11/17,1/14/17,Justin Thomas,6200000,500,6.2,0.266944444444444
CareerBuilder Challenge,Stadium Course,La Quinta,CA,US,-116.268,33.643,01/18/18,1/21/18,Hudson Swafford,5900000,500,5.9,0.241736111111111
Farmers Insurance Open,Torrey Pines GC,San Diego,CA,US,-117.245,32.903,01/25/18,1/28/18,Jon Rahm,6900000,500,6.9,0.330625
Waste Management Phoenix Open,TPC Scottsdale,Scottsdale,AZ,US,-111.91,33.64,02/01/18,2/4/18,Hideki Matsuyama,6900000,500,6.9,0.330625
AT&T Pebble Beach Pro-Am,Pebble Beach GL,Pebble Beach,CA,US,-121.95,36.568,02/08/18,2/11/18,Jordan Spieth,7400000,500,7.4,0.380277777777778
Genesis Open,Riviera CC,Pacific Palisades,CA,US,-118.5,34.05,02/15/18,2/18/18,Dustin Johnson,7200000,500,7.2,0.36
The Honda Classic,PGA National (Champion),Palm Beach Gardens,FL,US,-80.141,26.829,02/22/18,2/25/18,Rickie Fowler,6600000,500,6.6,0.3025
Puerto Rico Open,Coco Beach Golf & CC,Rio Grande,PUR,US,-65.799,18.405,03/01/18,3/4/18,D.A. Points,3000000,300,3,0.0625
WBC – Mexico Championship,Club de Golf Chapultepec,Mexico City,,MEX,-99.244,19.431,03/01/18,3/4/18,Dustin Johnson,10000000,550,10,0.694444444444444
Valspar Championship,Inisbrook Resort (Copperhead),Palm Harbor,FL,US,-82.754,28.111,03/08/18,3/11/18,Adam Hadwin,6500000,500,6.5,0.293402777777778
Arnold Palmer Invitational ,Bay Hill Club & Lodge,Orlando,FL,US,-81.511,28.458,03/15/18,3/18/18,Marc Leishman,8900000,500,8.9,0.550069444444445
WBC – Dell Technologies Match Play,Austin Country Club,Austin,TX,US,-97.797,30.343,03/21/18,3/25/18,Dustin Johnson,10000000,550,10,0.694444444444444
Corales Puntacana Resort and Club Championship,Corales Golf Club,Punta Cana,,DOM,-68.342,18.5655,03/22/18,3/25/18,N.A.,3000000,300,3,0.0625
Houston Open,GC of Houston,Humble,TX,US,-95.261,29.924,03/29/18,4/1/18,Russell Henley,7000000,500,7,0.340277777777778
Masters Tournament,Augusta National GC,Augusta,GA,US,-82.02,33.503,04/05/18,4/8/18,Sergio Garcia,11000000,600,11,0.840277777777778
RBC Heritage,Harbour Town GL,Hilton Head,SC,US,-80.81,32.136,04/12/18,4/15/18,Wesley Bryan,6700000,500,6.7,0.311736111111111
Valero Texas Open,TPC San Antonio – AT&T Oaks,San Antonio,TX,US,-98.4,29.665,04/19/18,4/22/18,Kevin Chappell,6200000,500,6.2,0.266944444444444
Zurich Classic of New Orleans,TPC Louisiana,Avondale,LA,US,-90.19,29.902,04/26/18,4/29/18,J. Blixt / C. Smith,7200000,400,7.2,0.36
Wells Fargo Championship,Quail Hollow Club,Charlotte,NC,US,-77.759,34.284,05/03/18,5/6/18,Brian Harman,7700000,500,7.7,0.411736111111111
THE PLAYERS Championship,TPC Sawgrass,Ponte Vedra Beach,FL,US,-81.394,30.198,05/10/18,5/13/18,Si Woo Kim,10500000,600,10.5,0.765625
AT&T Byron Nelson,Trinity Forest Golf Club,Irving,TX,US,-96.958,32.864,05/17/18,5/20/18,Billy Horschel,7700000,500,7.7,0.411736111111111
Dean & Deluca Invitational,Colonial CC,Fort Worth,TX,US,-97.373,32.717,05/24/18,5/27/18,Kevin Kisner,7100000,500,7.1,0.350069444444444
The Memorial Tournament ,Muirfield Village  GC,Dublin,OH,US,-83.1414,40.1404,05/31/18,6/3/18,Jason Dufner,8900000,500,8.9,0.550069444444445
FedEx St. Jude Classic,TPC Southwind,Memphis,TX,US,-89.778,35.056,06/07/18,6/10/18,Daniel Berger,6600000,500,6.6,0.3025
U.S. Open,Shinnecock Hills GC,Southamption,NY,US,-72.44,40.894,06/14/18,6/17/18,Brooks Koepka,12000000,600,12,1
Travelers Championship,TPC River Highlands,Cromwell,CT,US,-72.639,41.632,06/21/18,6/24/18,Jordan Spieth,7000000,500,7,0.340277777777778
The National,,,,,,,06/28/18,7/1/18,Kyle Stanley,7100000,500,7.1,0.350069444444444
The Greenbrier Classic,The Old White TPC,White Sulphur Springs,WV,US,-80.314,37.787,07/05/18,7/8/18,Xander Schauffele,7300000,500,7.3,0.370069444444444
John Deere Classic,TPC Deere Run,Silvis,IL,US,-90.392,41.477,07/12/18,7/15/18,Bryson DeChambeau,5800000,500,5.8,0.233611111111111
Barbasol Championship,,,,,,,07/19/18,7/22/18,Grayson Murray,3500000,300,3.5,0.085069444444445
The Open Championship,Carnoustie GC,Angus,,SCO,-2.717,56.497,07/19/18,7/22/18,Jordan Spieth,10250000,600,10.25,0.729600694444444
RBC Canadian Open,Glen Abbey GC,Oakville,ON,CA,-79.719,43.452,07/26/18,7/29/18,Jhonattan Vegas,6200000,500,6.2,0.266944444444444
Barracuda Championship,Montreux G&CC,Reno,NV,US,-119.828,39.3645,08/02/18,8/5/18,Chris Stroud,3400000,300,3.4,0.080277777777778
Wold Golf Championships – Bridgestone Invitational,Firestone CC (South),Akron,OH,US,-81.508,41.008,08/02/18,8/5/18,Hideki Matsuyama,10000000,550,10,0.694444444444444
PGA Championship,Bellerive CC,St. Louis,MO,US,-90.483,38.66,08/09/18,8/12/18,Justin Thomas,10500000,600,10.5,0.765625
Wyndham Championship,Sedgefield CC,Greensboro,NC,US,-79.887,36.014,08/16/18,8/19/18,Henrik Stenson,6000000,500,6,0.25
THE NORTHERN TRUST,Ridgewood CC,Paramus,NJ,US,-73.5873,40.7915,08/23/18,8/26/18,Dustin Johnson,9000000,2000,9,0.5625
Dell Technologies Championship,TPC Boston,Norton,MA,US,-71.223,41.982,08/31/18,9/3/18,Justin Thomas,9000000,2000,9,0.5625
BMW Championship,Aronimink GC,Newtown Square,PA,US,-87.8922,42.2316,09/06/18,9/9/18,Marc Leishman,9000000,2000,9,0.5625
TOUR Championship,East Lake GC,Atlanta,GA,US,-84.303,33.743,09/20/18,9/23/18,Xander Schauffele,9000000,2000,9,0.5625
Ryder Cup,Le Golf National,Saint-Quentin-en-Yvelines,,FRA,2.077,48.754,09/28/18,9/30/18,United States,0,0,0,0
